epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,792.963,0.47582,0.30346,0.90845,0.98979,0.99528,0.99453,0.87488,0.54153,0.27286,0.9499,0.0007922,0.0007922,0.0007922
63,805.316,0.46563,0.29117,0.89439,0.9941,0.99057,0.9931,0.87279,0.5312,0.28344,0.94333,0.0007724,0.0007724,0.0007724
64,817.754,0.44653,0.28197,0.89097,0.98948,0.99528,0.99467,0.87347,0.52471,0.26685,0.9377,0.0007526,0.0007526,0.0007526
65,829.809,0.45413,0.28964,0.89461,0.99454,0.99057,0.99453,0.88013,0.52342,0.2628,0.93412,0.0007328,0.0007328,0.0007328
66,842.037,0.44504,0.28456,0.89654,0.99058,0.99249,0.99343,0.87742,0.53009,0.26784,0.93941,0.000713,0.000713,0.000713
67,854.256,0.44354,0.27761,0.88487,0.98099,0.99528,0.99399,0.87799,0.52782,0.28296,0.9345,0.0006932,0.0006932,0.0006932
68,866.285,0.45493,0.2848,0.89601,0.99528,0.9938,0.99311,0.88008,0.51487,0.26212,0.93383,0.0006734,0.0006734,0.0006734
69,878.184,0.44553,0.27708,0.89224,0.99057,0.99053,0.99239,0.88155,0.52294,0.26962,0.94627,0.0006536,0.0006536,0.0006536
70,890.364,0.44644,0.28012,0.89469,0.9876,0.99528,0.99225,0.86965,0.53734,0.27659,0.95396,0.0006338,0.0006338,0.0006338
71,902.503,0.44641,0.28752,0.89416,0.99435,0.99528,0.99283,0.88399,0.51958,0.25871,0.94684,0.000614,0.000614,0.000614
72,914.578,0.43443,0.27659,0.89082,0.98573,0.99528,0.99274,0.88562,0.52339,0.25143,0.94585,0.0005942,0.0005942,0.0005942
73,926.832,0.43207,0.27311,0.88971,0.99297,0.99057,0.99296,0.88888,0.51706,0.25881,0.94195,0.0005744,0.0005744,0.0005744
74,938.914,0.42622,0.26447,0.87804,0.9949,0.99528,0.99208,0.88972,0.50104,0.26017,0.93085,0.0005546,0.0005546,0.0005546
75,951.816,0.42815,0.27369,0.88854,0.98984,0.99528,0.99226,0.88389,0.52221,0.25471,0.94101,0.0005348,0.0005348,0.0005348
76,964.154,0.43276,0.26573,0.87943,0.99528,0.99459,0.99179,0.87872,0.51183,0.26043,0.94073,0.000515,0.000515,0.000515
77,976.764,0.42606,0.26299,0.89239,0.98985,0.99528,0.99257,0.88638,0.50873,0.25228,0.94035,0.0004952,0.0004952,0.0004952
78,989.433,0.4144,0.2561,0.87852,0.99431,0.99528,0.99245,0.88855,0.52644,0.25766,0.94518,0.0004754,0.0004754,0.0004754
79,1001.65,0.41906,0.25892,0.88514,0.99518,0.99528,0.9917,0.89469,0.4966,0.24858,0.93407,0.0004556,0.0004556,0.0004556
80,1015.23,0.42278,0.25941,0.89116,0.99497,0.99528,0.99184,0.88932,0.4963,0.25189,0.93265,0.0004358,0.0004358,0.0004358
81,1028.01,0.40849,0.25748,0.87993,0.99508,0.99528,0.99175,0.8792,0.51231,0.26096,0.94417,0.000416,0.000416,0.000416
82,1041.06,0.41263,0.26287,0.87945,0.99526,0.99019,0.99344,0.89232,0.49785,0.25129,0.93592,0.0003962,0.0003962,0.0003962
83,1054.45,0.39464,0.24535,0.881,0.99526,0.98979,0.99268,0.89328,0.49289,0.24932,0.93854,0.0003764,0.0003764,0.0003764
84,1066.34,0.3883,0.24894,0.87948,0.99406,0.99057,0.99263,0.88876,0.49293,0.24757,0.93679,0.0003566,0.0003566,0.0003566
85,1078.2,0.40348,0.24896,0.86546,0.99524,0.99057,0.99291,0.88708,0.49954,0.24258,0.93554,0.0003368,0.0003368,0.0003368
86,1090.28,0.40497,0.25368,0.88358,0.99056,0.98977,0.9917,0.89428,0.48974,0.25113,0.92953,0.000317,0.000317,0.000317
87,1102.54,0.39037,0.24619,0.873,0.9888,0.99528,0.99162,0.89802,0.48683,0.2489,0.93266,0.0002972,0.0002972,0.0002972
88,1113.92,0.396,0.24608,0.8877,0.98523,0.99528,0.99276,0.89888,0.4906,0.24861,0.93188,0.0002774,0.0002774,0.0002774
89,1125.99,0.38328,0.2425,0.88125,0.99374,0.99528,0.99307,0.8984,0.47305,0.23554,0.92299,0.0002576,0.0002576,0.0002576
90,1137.66,0.37869,0.24125,0.87247,0.99526,0.99037,0.99282,0.89932,0.4781,0.23638,0.92571,0.0002378,0.0002378,0.0002378
91,1172.98,0.35738,0.20974,0.84234,0.99387,0.98585,0.99234,0.89071,0.47886,0.23323,0.92044,0.000218,0.000218,0.000218
92,1184.93,0.34779,0.19593,0.8359,0.99056,0.99021,0.99181,0.89041,0.49738,0.24864,0.93935,0.0001982,0.0001982,0.0001982
93,1198.48,0.34722,0.19552,0.83587,0.99056,0.9903,0.992,0.89565,0.48463,0.24324,0.93054,0.0001784,0.0001784,0.0001784
94,1210.37,0.33386,0.19079,0.82974,0.99056,0.99021,0.99195,0.90404,0.4817,0.24388,0.92715,0.0001586,0.0001586,0.0001586
95,1222.3,0.33081,0.18827,0.82733,0.99469,0.98585,0.99105,0.89973,0.47881,0.23851,0.92412,0.0001388,0.0001388,0.0001388
96,1234.21,0.3307,0.19131,0.82504,0.99465,0.98585,0.99143,0.90171,0.47866,0.23751,0.9289,0.000119,0.000119,0.000119
97,1246.17,0.31742,0.18457,0.82983,0.99056,0.99002,0.99181,0.90192,0.46167,0.23188,0.91968,9.92e-05,9.92e-05,9.92e-05
98,1258.36,0.31554,0.17868,0.81921,0.995,0.98585,0.99162,0.90007,0.47232,0.23986,0.92465,7.94e-05,7.94e-05,7.94e-05
99,1270.23,0.309,0.1806,0.81071,0.99482,0.98585,0.99138,0.90424,0.46964,0.24081,0.9234,5.96e-05,5.96e-05,5.96e-05
100,1282.24,0.30924,0.17744,0.81373,0.99056,0.99008,0.99162,0.90314,0.46602,0.23718,0.9226,3.98e-05,3.98e-05,3.98e-05
